business_date,farecard_id,tap_on_time,origin,tap_off_time,destination,fare,concession
2023-02-16,7ARHOBMU9A,07:38,Scarborough,08:27,Union Station,14.03,student
2023-12-27,VQRJ06N6NP,07:10,Hamilton,08:31,Union Station,4.0,senior
2023-07-30,6C2KHFI2FV,07:01,Oakville,08:08,Union Station,4.39,adult
2023-02-23,IDQ7ILKFH7,08:14,Union Station,08:49,Union Station,11.84,student
2023-09-06,CTR76IEX1V,06:24,Union Station,07:41,Union Station,11.11,senior
2023-09-17,OE4E6SVMV7,07:17,Hamilton,08:48,Union Station,3.58,student
2023-12-05,BJCCW5LJOI,08:42,Yorkdale,08:44,Union Station,5.75,senior
2023-03-06,IGJFO8GSIE,06:56,Yorkdale,08:51,Union Station,4.7,adult
2023-05-29,N958P5A89F,07:14,Hamilton,08:08,Union Station,3.61,student
2023-05-10,JS60E701G1,06:16,Bloor,06:53,Union Station,5.26,senior
2023-02-12,Z3DOG8PCR1,07:02,Hamilton,08:14,Union Station,6.5,adult
2023-05-16,HRDOUG9GNV,08:19,Bloor,08:36,Union Station,4.45,adult
2023-07-20,0RHHGYWBR4,08:05,Scarborough,08:35,Union Station,5.93,senior
2023-10-26,6VIO33KEF8,07:46,Brampton,08:34,Union Station,12.36,senior
2023-02-24,QHTU7FFSI6,07:49,Yorkdale,08:27,Union Station,3.9,adult
2023-08-04,NYP7N07FUS,06:01,Brampton,08:27,Union Station,4.22,student
2023-05-02,CIQUXDBX3N,08:02,Oakville,08:32,Union Station,10.08,adult
2023-09-09,83HDFDW8TL,08:40,Pickering,08:44,Union Station,7.11,student
2023-05-08,RDJPU2UBAX,06:44,Pickering,08:18,Union Station,4.49,senior
2023-05-20,B7MOVGBU50,08:11,Yorkdale,08:38,Union Station,5.33,student
2023-11-10,AZUZ88WUWL,06:17,Scarborough,08:12,Union Station,8.72,student
2023-05-21,NNHKDCNS9Q,07:07,Hamilton,08:25,Union Station,8.93,senior
2023-06-07,KP1YFC98NL,06:28,Yorkdale,07:55,Union Station,14.88,senior
2023-03-07,AX0KMHQQ0P,08:09,Pickering,08:36,Union Station,3.77,senior
2023-10-07,008YU44GTT,08:00,Hamilton,08:09,Union Station,8.43,student
2023-10-20,8N303X514X,06:11,Hamilton,07:22,Union Station,4.08,adult
2023-01-03,OYLDAUTNN7,08:04,Hamilton,08:56,Union Station,6.84,student
2023-11-11,I159VPIZ4N,08:13,Yorkdale,08:33,Union Station,10.3,senior
2023-09-23,P884JAFZ8X,06:25,Pickering,08:40,Union Station,5.32,senior
2023-01-10,QZB2V9TQMB,08:42,Pickering,08:59,Union Station,6.33,adult
2023-12-04,IHWQPYNCHP,07:03,Brampton,08:30,Union Station,12.07,adult
2023-09-25,0KKXHBAP08,06:11,Bloor,06:18,Union Station,11.49,student
2023-01-02,WTEWSSIIHJ,08:30,Yorkdale,08:40,Union Station,7.6,adult
2023-01-11,D5TMWWDGGL,07:09,Pickering,07:54,Union Station,9.69,adult
2023-07-29,FTU5F7AIQ3,08:58,Scarborough,08:59,Union Station,4.92,adult
2023-03-30,MSGHCM6RA6,06:35,Oakville,07:03,Union Station,11.65,adult
2023-05-26,AGLQ72RBKD,07:56,Scarborough,08:53,Union Station,5.64,senior
2023-03-12,HE42XWOVW7,07:36,Scarborough,08:31,Union Station,8.82,senior
2023-02-10,2QPZRYQJ6P,08:08,Union Station,08:48,Union Station,7.59,adult
2023-03-22,D6J4I1NK1L,06:25,Oakville,07:56,Union Station,5.36,adult
2023-01-19,ZZQHDGA22V,07:03,Pickering,08:55,Union Station,7.92,student
2023-12-10,0G7SH9O4JR,08:03,Oakville,08:59,Union Station,10.36,student
2023-04-21,71NXYA6MEW,07:02,Bloor,07:33,Union Station,13.41,adult
2023-05-20,DI8YFPYZC2,08:55,Yorkdale,08:59,Union Station,12.69,adult
2023-10-26,U7HELNLM7E,07:28,Scarborough,08:04,Union Station,5.76,student
2023-09-30,O31QYTTHQL,06:59,Yorkdale,08:01,Union Station,8.37,senior
2023-08-25,VGG6ZZ8K1L,07:52,Hamilton,08:26,Union Station,9.11,student
2023-09-20,VHPZO9ZF8G,07:47,Union Station,08:20,Union Station,3.71,senior
2023-09-11,AXGH38C52E,06:35,Oakville,08:23,Union Station,3.92,adult
2023-12-20,4GU9F52RAN,08:08,Hamilton,08:13,Union Station,4.56,adult
2023-02-03,KI0E3JRWWG,08:01,Scarborough,08:33,Union Station,12.86,adult
2023-12-02,VFR5QCWKY7,08:44,Oakville,08:44,Union Station,9.93,senior
2023-04-05,KY1X4834G5,06:18,Scarborough,08:08,Union Station,14.93,adult
2023-08-27,2538XHB4UQ,06:53,Hamilton,07:19,Union Station,11.53,student
2023-02-10,K0TKX2E07Y,07:28,Brampton,08:31,Union Station,14.72,senior
2023-01-24,MT5ONOO8F0,08:24,Yorkdale,08:56,Union Station,4.59,student
2023-02-01,Z7LWIZMR5B,08:06,Oakville,08:37,Union Station,13.43,senior
2023-12-14,48H4ZJ8PVR,06:54,Hamilton,08:10,Union Station,10.3,student
2023-03-31,YOEYHQQO22,06:43,Bloor,07:18,Union Station,5.29,senior
2023-08-10,6KSKBGAKPT,08:03,Brampton,08:03,Union Station,5.14,senior
2023-12-13,NGT2X698MN,08:31,Brampton,08:33,Union Station,10.27,student
2023-12-15,T3SF23EGHO,07:16,Yorkdale,07:32,Union Station,11.41,adult
2023-11-11,ZEDGSI5REM,08:25,Pickering,08:53,Union Station,7.59,senior
2023-06-28,Y9OWI9NLRZ,07:03,Union Station,08:32,Union Station,7.54,adult
2023-02-28,TN9QG3OSRO,06:23,Bloor,07:59,Union Station,14.38,student
2023-01-07,0JH8NHIFVQ,06:59,Oakville,08:12,Union Station,6.56,adult
2023-10-12,LB33R6UZY0,06:40,Bloor,08:45,Union Station,6.76,student
2023-05-29,PEV4VPUTTP,08:57,Oakville,08:58,Union Station,9.47,senior
2023-02-12,9SEU74O0XL,07:45,Oakville,08:12,Union Station,11.32,student
2023-03-20,EEB02KKWVS,07:30,Bloor,08:56,Union Station,10.85,senior
2023-09-05,XYJD0HSLKL,07:52,Brampton,08:15,Union Station,8.94,adult
2023-11-18,MVTBROERX8,08:16,Yorkdale,08:22,Union Station,11.27,senior
2023-03-20,HRE3TF0LHT,08:13,Union Station,08:49,Union Station,8.58,senior
2023-03-07,EV0YL69EEW,07:00,Bloor,08:00,Union Station,6.77,student
2023-01-26,9QZ2STDC7W,08:46,Bloor,08:51,Union Station,8.2,senior
2023-05-13,XGRY38K448,08:50,Oakville,08:58,Union Station,7.88,senior
2023-05-23,2RQG8TKXYX,07:55,Scarborough,08:37,Union Station,6.12,student
2023-03-21,J5ZW747JUB,07:33,Yorkdale,08:59,Union Station,4.03,student
